algorithm,n,type,domain,sample,time_ms,memory_kb
PatienceSort,1000,descendente,D7,a,0.02191,0
StdSort,1000,descendente,D7,a,0.009147,0
MergeSort,1000,descendente,D7,b,0.067746,0
QuickSort,1000,descendente,D7,b,0.448215,0
PatienceSort,1000,descendente,D7,b,0.022593,0
StdSort,1000,descendente,D7,b,0.009412,0
MergeSort,1000,descendente,D7,c,0.069884,0
QuickSort,1000,descendente,D7,c,0.324306,0
PatienceSort,1000,descendente,D7,c,0.020223,0
StdSort,1000,descendente,D7,c,0.007362,0
MergeSort,1000,aleatorio,D1,a,0.079076,0
QuickSort,1000,aleatorio,D1,a,0.056009,0
PatienceSort,1000,aleatorio,D1,a,0.059415,0
StdSort,1000,aleatorio,D1,a,0.02407,0
MergeSort,1000,aleatorio,D1,b,0.09898,0
QuickSort,1000,aleatorio,D1,b,0.077555,0
PatienceSort,1000,aleatorio,D1,b,0.053056,0
StdSort,1000,aleatorio,D1,b,0.024313,0
MergeSort,1000,aleatorio,D1,c,0.080939,0
QuickSort,1000,aleatorio,D1,c,0.055822,0
PatienceSort,1000,aleatorio,D1,c,0.048901,0
StdSort,1000,aleatorio,D1,c,0.024896,0
MergeSort,1000,aleatorio,D7,a,0.094185,0
QuickSort,1000,aleatorio,D7,a,0.048614,0
PatienceSort,1000,aleatorio,D7,a,0.105847,0
StdSort,1000,aleatorio,D7,a,0.041836,0
MergeSort,1000,aleatorio,D7,b,0.092345,0
QuickSort,1000,aleatorio,D7,b,0.048162,0
PatienceSort,1000,aleatorio,D7,b,0.103367,0
StdSort,1000,aleatorio,D7,b,0.037593,0
MergeSort,1000,aleatorio,D7,c,0.097823,0
QuickSort,1000,aleatorio,D7,c,0.042464,0
PatienceSort,1000,aleatorio,D7,c,0.117462,0
StdSort,1000,aleatorio,D7,c,0.042531,0
MergeSort,100000,ascendente,D1,a,6.27928,256
QuickSort,100000,ascendente,D1,a,319.828,0
PatienceSort,100000,ascendente,D1,a,2.49853,24
StdSort,100000,ascendente,D1,a,1.95783,0
MergeSort,100000,ascendente,D1,b,6.09519,0
QuickSort,100000,ascendente,D1,b,338.722,0
PatienceSort,100000,ascendente,D1,b,2.46801,244
StdSort,100000,ascendente,D1,b,0.822876,0
MergeSort,100000,ascendente,D1,c,6.58701,0
QuickSort,100000,ascendente,D1,c,320.568,0
PatienceSort,100000,ascendente,D1,c,3.10711,0
StdSort,100000,ascendente,D1,c,0.939215,0
MergeSort,100000,ascendente,D7,a,5.92688,0
QuickSort,100000,ascendente,D7,a,4176.62,1152
PatienceSort,100000,ascendente,D7,a,32.088,7572
StdSort,100000,ascendente,D7,a,1.3242,0
MergeSort,100000,ascendente,D7,b,6.27715,0
QuickSort,100000,ascendente,D7,b,4373.21,0
PatienceSort,100000,ascendente,D7,b,71.7184,32
StdSort,100000,ascendente,D7,b,1.47167,0
MergeSort,100000,ascendente,D7,c,5.82239,0
QuickSort,100000,ascendente,D7,c,4920.98,0
PatienceSort,100000,ascendente,D7,c,21.4912,0
StdSort,100000,ascendente,D7,c,1.44891,0
MergeSort,100000,descendente,D1,a,7.72734,0
QuickSort,100000,descendente,D1,a,441.682,0
PatienceSort,100000,descendente,D1,a,1.88067,0
StdSort,100000,descendente,D1,a,1.22824,0
MergeSort,100000,descendente,D1,b,6.43815,0
QuickSort,100000,descendente,D1,b,394.464,0
PatienceSort,100000,descendente,D1,b,2.06152,0
StdSort,100000,descendente,D1,b,1.10523,0
MergeSort,100000,descendente,D1,c,6.16503,0
QuickSort,100000,descendente,D1,c,389.24,0
PatienceSort,100000,descendente,D1,c,1.95955,0
StdSort,100000,descendente,D1,c,0.811601,0
MergeSort,100000,descendente,D7,a,5.84629,0
QuickSort,100000,descendente,D7,a,4495.04,0
PatienceSort,100000,descendente,D7,a,1.77043,0
StdSort,100000,descendente,D7,a,1.12807,0
MergeSort,100000,descendente,D7,b,5.65307,0
QuickSort,100000,descendente,D7,b,3581.72,0
PatienceSort,100000,descendente,D7,b,1.79651,0
StdSort,100000,descendente,D7,b,0.68951,0
MergeSort,100000,descendente,D7,c,5.38898,0
QuickSort,100000,descendente,D7,c,770.008,0
PatienceSort,100000,descendente,D7,c,1.97907,0
StdSort,100000,descendente,D7,c,1.07083,0
MergeSort,100000,aleatorio,D1,a,8.74593,0
QuickSort,100000,aleatorio,D1,a,375.809,0
PatienceSort,100000,aleatorio,D1,a,5.08039,0
StdSort,100000,aleatorio,D1,a,2.95147,0
MergeSort,100000,aleatorio,D1,b,8.8458,0
QuickSort,100000,aleatorio,D1,b,358.854,0
PatienceSort,100000,aleatorio,D1,b,4.0072,0
StdSort,100000,aleatorio,D1,b,2.04522,0
MergeSort,100000,aleatorio,D1,c,12.0545,0
QuickSort,100000,aleatorio,D1,c,333.94,0
PatienceSort,100000,aleatorio,D1,c,4.09997,0
StdSort,100000,aleatorio,D1,c,2.0711,0
MergeSort,100000,aleatorio,D7,a,12.888,0
QuickSort,100000,aleatorio,D7,a,7.09967,0
PatienceSort,100000,aleatorio,D7,a,15.9779,0
StdSort,100000,aleatorio,D7,a,7.57368,0
MergeSort,100000,aleatorio,D7,b,13.5116,0
QuickSort,100000,aleatorio,D7,b,6.81507,0
PatienceSort,100000,aleatorio,D7,b,15.7456,0
